longitude,latitude,alt,temp,prec,hum,dist_aqua
30.6,-15.56666667,367.4375,32.3976059,64.30000305,65.15000153,4.548999786
30.6,-15.5,483.953125,31.75652695,64.30000305,65.15000153,11.14000034
30.6,-15.43333333,531.890625,31.37470627,68.22499847,65.08333588,18.18300056
30.6,-15.36666667,595.390625,30.95688438,68.22499847,65.08333588,22.72100067
30.6,-15.3,677,30.61314011,77.83333588,65.15833282,23.87700081
30.6,-15.23333333,1024.84375,26.87068367,77.83333588,65.15833282,26.90500069
30.6,-15.16666667,957.609375,27.14933586,77.83333588,65.15833282,26.01000023
30.6,-15.1,789.171875,29.52697372,77.4916687,64.80833435,25.76399994
30.6,-15.03333333,712.484375,30.46494675,77.4916687,64.80833435,27.57500076
30.6,-14.96666667,629.578125,30.91759872,77.66666412,64.54166412,31.09900093
30.6,-14.9,654.625,30.75990295,77.66666412,64.54166412,30.70100021
30.6,-14.83333333,737.4285714,29.8405571,77.66666412,64.54166412,30.70100021
30.66666667,-15.96666667,399.328125,31.04293442,69.33333588,65.77500153,8.213999748
30.66666667,-15.9,408.046875,31.37397766,69.33333588,65.77500153,6.415999889
30.66666667,-15.83333333,372.609375,31.84950066,69.33333588,65.77500153,6.997000217
30.66666667,-15.76666667,361.203125,31.99021149,67.68333435,65.3833313,4.585999966
30.66666667,-15.7,335.8125,32.1146965,67.68333435,65.3833313,1.075999975
30.66666667,-15.63333333,325.578125,31.60151291,67.48332977,65.07499695,0
30.66666667,-15.56666667,355.28125,32.09714508,67.48332977,65.07499695,2.23300004
30.66666667,-15.5,600.578125,31.168293,67.48332977,65.07499695,9.545000076
30.66666667,-15.43333333,636.625,30.5595932,74.01667023,65.1166687,16.22900009
30.66666667,-15.36666667,622.375,30.73822403,74.01667023,65.1166687,22.14900017
30.66666667,-15.3,736.171875,30.30937386,82.97499847,65.15000153,28.77499962
30.66666667,-15.23333333,982.578125,28.10508347,82.97499847,65.15000153,33.30899811
30.66666667,-15.16666667,1035.40625,27.95438957,82.97499847,65.15000153,33.0870018
30.66666667,-15.1,1086.265625,26.73100281,87.65000153,65.09166718,32.89599991
30.66666667,-15.03333333,824.15625,28.94394875,87.65000153,65.09166718,34.33499908
